Color Name,Brand,tier,has_color_word,word_count,char_length,avg_word_rarity,has_place_word
Light buff,Little Greene,Luxury,False,2,10,0.000108945,False
Light gold,Little Greene,Luxury,True,2,10,0.000181,False
Marigold,Little Greene,Luxury,False,1,8,5.62e-07,False
Mister David,Little Greene,Luxury,False,2,12,6.9315e-05,False
Mortlake yellow,Little Greene,Luxury,True,2,15,2.4545599999999998e-05,False
Oak apple,Little Greene,Luxury,False,2,9,3.63e-05,False
Pale lime,Little Greene,Luxury,False,2,9,9.62e-06,False
Serpentine,Little Greene,Luxury,False,1,10,1.15e-06,False
Stock dark,Little Greene,Luxury,False,2,10,9.755e-05,False
Stone-mid-cool,Little Greene,Luxury,False,1,14,2.63e-05,False
Stone-mid-warm,Little Greene,Luxury,False,1,14,1.98e-05,False
Stone-pale-cool,Little Greene,Luxury,False,1,15,9.42e-06,False
Straw colour,Little Greene,Luxury,False,2,12,2.0335e-05,False
Sunlight,Little Greene,Luxury,False,1,8,7.24e-06,False
Toad,Little Greene,Luxury,False,1,4,2.19e-06,False
Travertine - mid,Little Greene,Luxury,False,3,16,2.2102999999999998e-05,False
Travertine,Little Greene,Luxury,False,1,10,2.09e-07,False
Trumpet,Little Greene,Luxury,False,1,7,3.8e-06,False
White lead dark,Little Greene,Luxury,True,3,15,0.00019733333333333332,False
Woodbine,Little Greene,Luxury,False,1,8,4.07e-07,False
Yellow-pink,Little Greene,Luxury,True,1,11,1.98e-05,False
Middle buff,Little Greene,Luxury,False,2,11,7.7445e-05,False
Terra di Sienna,Little Greene,Luxury,True,3,15,8.360999999999998e-06,False
Tuscany,Little Greene,Luxury,False,1,7,1.41e-06,True
Adventurer,Little Greene,Luxury,False,1,10,1.51e-06,False
Angie,Little Greene,Luxury,False,1,5,2.24e-06,False
Ashes of roses,Little Greene,Luxury,False,3,14,0.008372903333333334,False
Atomic red,Little Greene,Luxury,True,2,10,0.000109275,False
Blush,Little Greene,Luxury,False,1,5,3.63e-06,False
Cape red,Little Greene,Luxury,True,2,8,0.0001145,False
Carmine,Little Greene,Luxury,False,1,7,9.55e-07,False
Chemise,Little Greene,Luxury,False,1,7,1.48e-07,False
Confetti,Little Greene,Luxury,False,1,8,1.07e-06,False
Dorchester pink - pale,Little Greene,Luxury,True,4,22,1.15625e-05,False
Dorchster pink - mid,Little Greene,Luxury,True,4,20,2.48e-05,False
Drummond,Little Greene,Luxury,False,1,8,1.66e-06,False
Firefly,Little Greene,Luxury,False,1,7,1.35e-06,False
Heat,Little Greene,Luxury,False,1,4,7.24e-05,False
Hellebore,Little Greene,Luxury,False,1,9,7.41e-08,False
Leather,Little Greene,Luxury,False,1,7,2.24e-05,False
Light peachblossom,Little Greene,Luxury,False,2,18,0.000107,False
Mischief,Little Greene,Luxury,False,1,8,2.29e-06,False
Orange aurora,Little Greene,Luxury,True,2,13,2.3534999999999997e-05,False
Pink slip,Little Greene,Luxury,True,2,9,2.6099999999999997e-05,False
Secret shell,Little Greene,Luxury,False,2,12,5.385e-05,False
Tuscana red,Little Greene,Luxury,True,2,11,0.0001045,False
Arras,Little Greene,Luxury,False,1,5,3.55e-07,False
